date,sleep start,sleep end,total sleep hours,light sleep min,deep sleep min,rem sleep min,awake min,awakenings,energy level,productivity score,task completion rate,study duration min
2024-12-01,4:38:00 AM,10:52:00 AM,6.1,224,104,58,4,2,3,4,100,0
2024-12-02,4:03:00 AM,10:58:00 AM,6.45,284,120,52,10,5,4,5,100,120
2024-12-03,12:47:00 AM,9:30:00 AM,8.37,344,103,98,6,2,5,2,-,0
2024-12-04,11:34:00 PM,6:35:00 AM,7.1,404,138,106,0,0,4,4,50,60
2024-12-05,2:12:00 AM,7:13:00 AM,5.1,464,89,75,0,0,3,6,75,60
2024-12-06,2:33:00 AM,9:19:00 AM,6.45,524,94,72,1,1,1,1,-,0
2024-12-07,5:44:00 AM,11:19:00 AM,5.35,584,103,64,0,0,2,2,-,120
,,,,,,,,,,,,
,,,,,,,,,,,`,
